field,description,data_type,source
roof,"One of 'dome', 'outdoors', 'closed', 'open' indicating indicating the roof status of the stadium the game was played in. (Source: Pro-Football-Reference)",,nflfastR::field_descriptions
run_gap,"String indicator for line gap of run: end, guard, or tackle",,nflfastR::field_descriptions
run_location,"String indicator for location of run: left, middle, or right.",,nflfastR::field_descriptions
rush,Binary indicator if the play was a rushing play.,,nflfastR::field_descriptions
rush_attempt,Binary indicator for if the play was a run.,,nflfastR::field_descriptions
rush_touchdown,Binary indicator for if the play resulted in a rushing TD.,,nflfastR::field_descriptions
rusher,Name of the rusher (no scrambles) including plays with penalties.,,nflfastR::field_descriptions
rusher_id,ID of the player in the 'rusher' column.,,nflfastR::field_descriptions
rusher_jersey_number,Jersey number of the rusher.,,nflfastR::field_descriptions
rusher_player_id,Unique identifier for the player that attempted the run.,,nflfastR::field_descriptions
rusher_player_name,String name for the player that attempted the run.,,nflfastR::field_descriptions
rushing_yards,"Numeric yards by the rusher_player_name, excluding yards gained in rush plays with laterals. This should equal official rushing statistics but could miss yards gained in rush plays with laterals. Please see the description of `lateral_rusher_player_name` for further information.",,nflfastR::field_descriptions
sack,Binary indicator for if the play ended in a sack.,,nflfastR::field_descriptions
sack_player_id,Unique identifier of the player who recorded a solo sack.,,nflfastR::field_descriptions
sack_player_name,String name of the player who recorded a solo sack.,,nflfastR::field_descriptions
safety,Binary indicator for whether or not a safety occurred.,,nflfastR::field_descriptions
safety_player_id,Unique identifier for the player who scored a safety.,,nflfastR::field_descriptions
safety_player_name,String name for the player who scored a safety.,,nflfastR::field_descriptions
safety_prob,Predicted probability of the posteam scoring a safety next.,,nflfastR::field_descriptions
score_differential,Score differential between the posteam and defteam at the start of the play.,,nflfastR::field_descriptions
score_differential_post,Score differential between the posteam and defteam at the end of the play.,,nflfastR::field_descriptions
season,4 digit number indicating to which season the game belongs to.,,nflfastR::field_descriptions
season_type,'REG' or 'POST' indicating if the game belongs to regular or post season.,,nflfastR::field_descriptions
series,"Starts at 1, each new first down increments, numbers shared across both teams NA: kickoffs, extra point/two point conversion attempts, non-plays, no posteam",,nflfastR::field_descriptions
series_result,"Possible values: First down, Touchdown, Opp touchdown, Field goal, Missed field goal, Safety, Turnover, Punt, Turnover on downs, QB kneel, End of half",,nflfastR::field_descriptions
